Teacher_Question,Student_Response
What's your favorite part about recess?,Playing on the monkey bars! And sometimes I can go all the way across without falling! But yesterday I fell but I didn't cry.
Can you tell me how you solved this math problem?,"Um... first I counted on my fingers, then I drew little circles, and then... um... I forgot. Can I start over?"
What do you think will happen next in the story?,"I think the dragon is gonna become best friends with the princess because they both like cookies, just like me!"
Why do you think it rains?,The clouds get really heavy and full of water and then they're like 'I'm too heavy!' and they drop all the water down!
What did you do over the weekend?,We went to my grandma's house and she made cookies and my little brother ate four but I only got two and it wasn't fair!
How did you help someone today?,"I shared my blue crayon with Tommy because his broke, even though blue is my favorite color."
What's the hardest part about being in second grade?,Writing in cursive is really hard. The letters look like spaghetti and my hand gets tired.
"If you could be any animal, what would you be and why?",A dolphin because they get to swim all day and they're super smart and they help people who are lost in the ocean!
What makes a good friend?,Someone who shares their snacks and doesn't push in line and plays with you even when the popular kids want to play with them.
Why is it important to eat vegetables?,My mom says they make you strong like a superhero but I think they taste like grass. But I still eat them sometimes.
What do you want to be when you grow up?,"I wanna be a ninja-astronaut-veterinarian! And also maybe a teacher, but only on Tuesdays."
How do plants grow?,They need water and sun and dirt and love! My plant at home died because I gave it too much love... and maybe too much water.
What's your favorite book and why?,Pete the Cat because he steps in strawberries but doesn't cry about his white shoes getting red!
How did you feel when you got the answer right?,I was so excited I did a happy dance in my chair but then Mrs. Johnson said to save my dancing for music class.
What's the most interesting thing you learned today?,That butterflies taste with their feet! That's so weird! I'm glad I don't have to taste my socks when I walk.
Why are you standing?,I didn't do it first! Tommy was standing and then Michael and then I just needed to see the board better!
Why aren't you working on your assignment?,My pencil broke and then I had to sharpen it but the sharpener wasn't working right and then I saw a butterfly outside...
Why are you talking during quiet time?,But I had to tell Jenny about my new puppy! It was really important and I whispered... kind of.
What happened to make you push your classmate?,He took my eraser first and wouldn't give it back and then he said my drawing was ugly!
Why did you leave your seat without permission?,I had to throw my tissue away and the garbage can was all the way over there and I forgot to ask.
Why aren't your materials ready for class?,My baby sister put my folder in the toilet this morning and my mom had to dry it with a hair dryer!
Why are you making those noises during work time?,"I'm just humming my thinking song! It helps me concentrate better, like how dad listens to music when he works!"
Why did you take Sarah's pencil?,I was just borrowing it! Mine disappeared and I think the pencil monster under my desk ate it.
Why aren't you in line with the rest of the class?,I was tying my shoe and everyone walked really fast and didn't wait for me!
